,Unnamed: 0,제목,작성 날짜,활동처명,활동내용,활동 지역,활동 기간,모집 시작일,모집 마감일,생활 편의,국제 협력,환경,인권,재해/재난,농어촌,주거 환경,보건 의료,교육,행정 지원,상담,문화,체육,역사,동아리,여행,홍보,사회공헌,기획,언어,현장,기타,장애인,노인,외국인,노숙인,다문화가정,노동자,유아,여성,쪽방촌,청소년,지역사회
110,114, 굿네이버스 좋은마음센터 서울동작 성폭력예방인형극 자원봉사자 모집,20180801,굿네이버스 좋은마음센터 서울동작," 동작구, 관악구에 있는 초등학교를 직접 방문하여 인형극 진행"," 관악구, 동작구",,20180801.0,20180810,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
111,115," [우리봉사단] 18.8.5(일) 대구 ""한여름 어울림 봉사"" 봉사자모집 (~8/2)",20180801,우리봉사단,다문화가정 아이들과 함께하는 즐거운 놀이 및 프로그램 활동^^,대구광역시,>18.8.5(일요일),20180801.0,20180802,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
112,116, 즐거운 봉사하러 가즈아! 남서로타랙트(8/1~8/15),20180801,국제로타리 3640지구 남서 로타랙트,"안녕하세요! 저희는 20세부터 만31세까지 남녀 누구나 함께 봉사활동을 하며 친목을 다지는 봉사 동아리, 남서 로타랙트입니다^^로타랙트는 국제 로타리 클럽의 후원을 받는 국제봉사단체인데요. 로타리 클럽은 한국에 17개의 지구가 있으며저희 '남서 로타랙트'는 그 중 서울 3640 지구에 속해있는 서울 남서 로타리 클럽의 후원을 받고 있습니다.현재는 서울시 강동구 암사동에 위치한 암사 재활원 이라는 중증 장애인 시설에서귀여운 아이들과 함께 놀이활동, 식사보조, 청소와 같은 봉사활동을 한 달에 한 번정기적으로 하고 있답니다ㅎㅎ또 서울 3640지구에는 저희 남서 로타랙트 클럽 말고도 9개의 클럽이 더 있어서다양한 종류의 봉사활동을 연합해서 함께 하고 있습니다^^정기 봉사활동장소: 서울시 강동구 암사동 암사재활원 센터(암사역 1번출구)시간: 매달 넷째 주 일요일 오전 10시 ~ 오후 1시봉사활동내용: 중증 장애를 가진 어린 아이들과 놀이 활동, 식사 보조, 청소장소: 서울특별시 영등포구 영등포동 3가 6번지, 영등포시장 지하쇼핑센터 1번출구시간: 매달 셋째 주 토요일 오전 10시 ~ 오후 2시봉사활동내용 : 독거노인분들을 대상으로 배식, 주방보조, 설거지, 테이블 세팅 등의 봉사지구 연합 봉사활동정기적으로 '생명사랑밤길걷기(범국민 자살예방 캠페인)', 사랑나눔 연탄봉사활동, 김장봉사활동 등다양한 연합 봉사를 진행하고 있습니다.타 클럽 봉사 교류 활동3640지구 내 10개의 클럽과 봉사활동 교류를 활발히 펼치고 있습니다.친목 활동 및 행사매년 3640지구 내 로타랙트 인들과 화합, 친목을 위해 '지구대회'라는 행사를 진행하고 있으며그 밖에도 MT, 번개, APRRC(해외 로타랙트 교류 행사), RYLA(리더십 연수 프로그램) 등행사를 통해 다양한 사람들과의 인맥을 넓힐 수 있습니다.",서울,2018년 8월 26일(일)부터(이 날 정기 봉사활동이 예정되어 있습니다),20180801.0,20180815,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
113,117, 제30회 춘천인형극제 자원활동가 1차 모집공고,20180801,(재)춘천인형극제,"공연운영팀(공연장관리 등) / 행사운영팀(부대체험행사 들)홍보 마케팅팀(홍보, 안내, 매표 등)/ 해외팀(영어, 스페인어, 프랑스어, 일어 통역 등)",춘천인형극장,9월28일~10월3일,20180801.0,20180805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
114,118, 2018 제 7회 도봉구 책축제 자원활동가 모집,20180801,도봉구청,부스운영 / 환경정리 / 행사지원 / 행사안내,도봉구 평화문화진지,2018. 09. 15 (토) AM 11:00 ~ PM 17:00,20180730.0,20180805,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
115,119, [아띠펜도]일요일에 시간 어때요? 봉사팀 아띠펜도 12기 회원 모집(~8/8),20180801,아띠펜도 봉사팀,승가원에서 장애아동친구들과 함께하는 정기봉사와정기 봉사시간 내에 아띠펜도에서 직접 기획하고 준비하여 진행하는 기획봉사로 활동하고 있습니다!!봉사 후에는 아띠펜도의 친목을 다질 수 있는 꿀맛 저녁식사까지 최고최고시험기간에는 잠시 활동을 중지하니 부담 갖지 말고 지원해주세요!8월 18일 토요일 아띠펜도 OT가 예정되어 있습니다. 필참이니 참고해주세요.,서울 성북구 안암역 10분거리 승가원 장애아동시설,2018년 12월까지(연장 가능),20180801.0,20180808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
116,120, 세브란스/성모/고대구로병원 병원학교 아이들을 위한 교육봉사 연합동아리(~8/1),20180801,키즈유나이티드,"신촌 세브란스병원, 서울 성모병원, 고대구로병원, 서울대 병원 어린이 병원학교에서소아암, 백혈병으로 인해 장기 입원치료 받는 아이들을 대상으로 미술/풍선아트/과학 수업을 진행합니다.","서울대병원, 세브란스병원, 서울성모병원",2018년 9월 ~ 2019년 2월 이상(6개월 이상),20180801.0,20180801,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
117,121, [빨간클립봉사단]빨간클립봉사단·나눔콘서트 기획단 모집(~8.17),20180731,빨간클립봉사단,봉사활동 및 기부나눔콘서트 기획,수도권,~2018년 12월 말,20180731.0,20180817,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
118,123, [아띠펜도]일요일에 시간 어때요? 봉사팀 아띠펜도 11기 회원 모집(~8/8),20180730,아띠펜도 봉사팀,승가원에서 장애아동친구들과 함께하는 정기봉사와정기 봉사시간 내에 아띠펜도에서 직접 기획하고 준비하여 진행하는 기획봉사로 활동하고 있습니다!!봉사 후에는 아띠펜도의 친목을 다질 수 있는 꿀맛 저녁식사까지 최고최고시험기간에는 잠시 활동을 중지하니 부담 갖지 말고 지원해주세요!8월 18일 토요일 아띠펜도 OT가 예정되어 있습니다. 필참이니 참고해주세요.,서울 성북구 안암역 10분거리 승가원 장애아동시설,2018년 12월까지(연장 가능),20180730.0,20180808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
119,124, [부산봉사] SCI 국제시민봉사회 부산경남지부에서 대학생 자원봉사자를 모집합니다,20180730,sci 국제시민봉사회 부산경남지부,"일일 봉사, 주말 봉사, 정기적 모임",부산,모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.,20180730.0,20180808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
